year_month,sharpe,total_profit,win_rate,num_trades,report
2023-09,-3.993542749487186,-1850.478949488373,0.3333333333333333,3,SL1.5_PT2.5
2023-10,-1.7978311855953835,-833.0570053632667,0.0,3,SL1.5_PT2.5
2023-11,-0.3979865765055786,-184.4141475878998,0.0,1,SL1.5_PT2.5
2023-12,-3.0358894557287197,-1406.733290014512,0.0,2,SL1.5_PT2.5
2024-01,0.13000053340474532,60.23805567591137,0.5,2,SL1.5_PT2.5
2024-02,-1.0531640352281992,-488.00225759402935,0.5,2,SL1.5_PT2.5
2024-03,0.6333724914070131,293.4843911923031,1.0,1,SL1.5_PT2.5
2024-04,-3.0598302816399645,-1417.8266968367661,0.0,2,SL1.5_PT2.5
2024-05,-0.34456702546540763,-159.66125,0.0,1,SL1.5_PT2.5
2024-06,-1.6986014424419653,-787.077141771693,0.5,2,SL1.5_PT2.5
2024-07,-1.942236450463756,-899.969749159118,0.0,2,SL1.5_PT2.5
2024-08,-1.0385541330929189,-481.2325,0.0,1,SL1.5_PT2.5
2024-09,-1.5055614749321913,-697.6286448618687,0.0,1,SL1.5_PT2.5
2024-10,-0.6974612696038474,-323.18106464519155,0.25,4,SL1.5_PT2.5
2024-11,3.8490955247348144,1783.5467628351555,1.0,1,SL1.5_PT2.5
2024-12,0.3280666326966699,152.0155000000131,1.0,1,SL1.5_PT2.5
2025-01,-0.9016711367448895,-417.805332901952,0.0,1,SL1.5_PT2.5
2025-02,-2.3262508112527924,-1077.9096224790155,0.5,2,SL1.5_PT2.5
2025-03,0.0,0.0,,0,SL1.5_PT2.5
2025-04,-13.300531651835447,-6163.037528992473,0.0,1,SL1.5_PT2.5
2025-05,4.137856241921441,1917.3491688972001,1.0,1,SL1.5_PT2.5
2025-06,-5.3624188678107565,-2484.7720071350946,0.0,2,SL1.5_PT2.5
2025-07,0.26175851712414977,121.29045716356246,1.0,1,SL1.5_PT2.5
2025-08,-1.9462099633491823,-901.8109469154076,0.0,1,SL1.5_PT2.5
2025-09,0.0,0.0,,0,SL1.5_PT2.5
2025-10,0.0,0.0,,0,SL1.5_PT2.5
2025-11,-0.24443319673797953,-113.26246230314268,0.5,2,SL1.5_PT2.5
2025-12,1.5141475352771587,701.6071483922088,0.5,2,SL1.5_PT2.5
2020-12,-3.6041817420979902,-1783.2448869990392,0.0,1,SL1.5_PT2.5
2021-01,6.343951565955342,3138.8037570975075,1.0,3,SL1.5_PT2.5
2021-02,-3.356557797375864,-1660.7277208510234,0.0,1,SL1.5_PT2.5
2021-03,-2.1777580173762727,-1077.4916825772598,0.3333333333333333,3,SL1.5_PT2.5
2021-04,0.7911436885595333,391.4350158946539,0.6666666666666666,3,SL1.5_PT2.5
2021-05,0.0,0.0,,0,SL1.5_PT2.5
2021-06,2.917632710484984,1443.560282308328,0.6666666666666666,3,SL1.5_PT2.5
2021-07,-4.536132970467065,-2244.347401200845,0.0,1,SL1.5_PT2.5
2021-08,-0.9908731444328736,-490.2553741493711,0.0,1,SL1.5_PT2.5
2021-09,3.566653448485029,1764.6769727006454,0.5,2,SL1.5_PT2.5
2021-10,-0.8593991436032641,-425.2058409878621,0.0,1,SL1.5_PT2.5
2021-11,2.241752964108949,1109.1545313792165,1.0,1,SL1.5_PT2.5
2021-12,0.8453758077780953,418.2675,1.0,1,SL1.5_PT2.5
2022-01,0.0,0.0,,0,SL1.5_PT2.5
2022-02,6.373661973647103,3153.5036075484863,0.6666666666666666,3,SL1.5_PT2.5
2022-03,0.0,0.0,,0,SL1.5_PT2.5
2022-04,0.6590120992825896,326.06012698796656,0.5,2,SL1.5_PT2.5
2022-05,6.328212909926584,3131.0167252828514,0.6666666666666666,3,SL1.5_PT2.5
2022-06,-4.9675050045717315,-2457.777807671898,0.0,3,SL1.5_PT2.5
2022-07,2.0535358989168717,1016.0301710759087,0.5,2,SL1.5_PT2.5
2022-08,0.6910117618574342,341.89263454599813,1.0,1,SL1.5_PT2.5
2022-09,1.8485454013340654,914.6068015415125,1.0,1,SL1.5_PT2.5
2022-10,1.716428852252461,849.2393540884912,1.0,1,SL1.5_PT2.5
2022-11,6.839895539368,3384.182491609188,1.0,2,SL1.5_PT2.5
2022-12,1.1577763643380403,572.8342602369287,0.6666666666666666,3,SL1.5_PT2.5
2023-01,8.827749315708504,4367.715048071642,1.0,3,SL1.5_PT2.5
2023-02,0.0,0.0,,0,SL1.5_PT2.5
2023-03,-3.694141736124978,-1827.7544902494315,0.25,4,SL1.5_PT2.5
2023-04,0.09361389625732157,46.317448396970576,1.0,1,SL1.5_PT2.5
2023-05,1.591613395235375,787.4842758291454,1.0,1,SL1.5_PT2.5
2023-06,-3.9219611412731097,-1940.4729429967915,0.0,2,SL1.5_PT2.5
2023-07,3.9103767488519385,1934.7413206668868,1.0,1,SL1.5_PT2.5
2023-08,0.0,0.0,,0,SL1.5_PT2.5
2023-09,-3.740070975392768,-1850.478949488373,0.3333333333333333,3,SL1.5_PT2.5
2023-10,-3.964872886678698,-1961.7044335437072,0.0,3,SL1.5_PT2.5
2023-11,-0.3727262074696927,-184.4141475878998,0.0,1,SL1.5_PT2.5
2023-12,-2.8432003236549717,-1406.733290014512,0.0,2,SL1.5_PT2.5
2024-01,0.1217493469514257,60.23805567591137,0.5,2,SL1.5_PT2.5
2024-02,-0.9863192878028695,-488.00225759402935,0.5,2,SL1.5_PT2.5
2024-03,0.5931720831153646,293.4843911923031,1.0,1,SL1.5_PT2.5
2024-04,-2.865621615659189,-1417.8266968367661,0.0,2,SL1.5_PT2.5
2024-05,2.737314624142184,1354.344108287904,1.0,1,SL1.5_PT2.5
2024-06,-1.5907905216372762,-787.077141771693,0.5,2,SL1.5_PT2.5
2024-07,-1.8189619171253781,-899.969749159118,0.0,2,SL1.5_PT2.5
2024-08,-1.5755487028148734,-779.5359306373749,0.0,1,SL1.5_PT2.5
2024-09,-1.410002878969177,-697.6286448618687,0.0,1,SL1.5_PT2.5
2024-10,-0.6531931206297732,-323.18106464519155,0.25,4,SL1.5_PT2.5
2024-11,3.6047918744386704,1783.5467628351555,1.0,1,SL1.5_PT2.5
2024-12,0.3072441107838934,152.0155000000131,1.0,1,SL1.5_PT2.5
2025-01,-0.8444417048802111,-417.805332901952,0.0,1,SL1.5_PT2.5
2025-02,-6.571623916161103,-3251.449451312458,0.0,2,SL1.5_PT2.5
2025-03,0.0,0.0,,0,SL1.5_PT2.5
2025-04,-12.456341526508105,-6163.037528992473,0.0,1,SL1.5_PT2.5
2025-05,3.8752248320730875,1917.3491688972001,1.0,1,SL1.5_PT2.5
2025-06,-5.022063972640068,-2484.7720071350946,0.0,2,SL1.5_PT2.5
2025-07,0.24514459813497605,121.29045716356246,1.0,1,SL1.5_PT2.5
2025-08,-1.8226832295402864,-901.8109469154076,0.0,1,SL1.5_PT2.5
2025-09,0.0,0.0,,0,SL1.5_PT2.5
2025-10,0.0,0.0,,0,SL1.5_PT2.5
2025-11,-0.22891892284352794,-113.26246230314268,0.5,2,SL1.5_PT2.5
2025-12,1.4180439785901355,701.6071483922088,0.5,2,SL1.5_PT2.5
2020-12,-4.106278097855711,-1783.2448869990392,0.0,1,SL1.5_PT3.0
2021-01,2.495379808747821,1083.6755765260775,0.3333333333333333,3,SL1.5_PT3.0
2021-02,-3.824157812732348,-1660.7277208510234,0.0,1,SL1.5_PT3.0
2021-03,-1.5330093713656028,-665.7442720786181,0.3333333333333333,3,SL1.5_PT3.0
2021-04,1.667702350892168,724.2377694335198,0.6666666666666666,3,SL1.5_PT3.0
2021-05,0.0,0.0,,0,SL1.5_PT3.0
2021-06,4.095741474231073,1778.6691179553695,0.6666666666666666,3,SL1.5_PT3.0
2021-07,-5.16805888227699,-2244.347401200845,0.0,1,SL1.5_PT3.0
2021-08,-1.1289110766011712,-490.2553741493711,0.0,1,SL1.5_PT3.0
2021-09,1.6808446042562917,729.9450925998337,0.5,2,SL1.5_PT3.0
2021-10,-0.9791215130677208,-425.2058409878621,0.0,1,SL1.5_PT3.0
2021-11,2.5540501994678335,1109.1545313792165,1.0,1,SL1.5_PT3.0
2021-12,0.6213836096124248,269.85,1.0,1,SL1.5_PT3.0
2022-01,0.0,0.0,,0,SL1.5_PT3.0
2022-02,3.5621573760932588,1546.9480576391848,0.3333333333333333,3,SL1.5_PT3.0
2022-03,0.0,0.0,,0,SL1.5_PT3.0
2022-04,0.7508186720714035,326.06012698796656,0.5,2,SL1.5_PT3.0
2022-05,4.604422822667351,1999.57559143179,0.6666666666666666,3,SL1.5_PT3.0
2022-06,-2.392691865389847,-1039.0809958411558,0.0,3,SL1.5_PT3.0
2022-07,2.3396127299547063,1016.0301710759087,0.5,2,SL1.5_PT3.0
2022-08,1.5495448057219143,672.9251614552044,1.0,1,SL1.5_PT3.0
2022-09,2.8234710116381216,1226.1566618497955,1.0,1,SL1.5_PT3.0
2022-10,1.9555435066460283,849.2393540884912,1.0,1,SL1.5_PT3.0
2022-11,9.817346355228352,4263.406489931013,1.0,2,SL1.5_PT3.0
2022-12,2.2378951677385674,971.8570005264867,0.6666666666666666,3,SL1.5_PT3.0
2023-01,2.854922483414133,1239.8151805610473,0.3333333333333333,3,SL1.5_PT3.0
2023-02,0.0,0.0,,0,SL1.5_PT3.0
2023-03,-1.793631742847278,-778.9254790760095,0.25,4,SL1.5_PT3.0
2023-04,0.10665519093180208,46.317448396970576,1.0,1,SL1.5_PT3.0
2023-05,-0.9010062339380159,-391.2825,0.0,1,SL1.5_PT3.0
2023-06,-4.468327150915661,-1940.4729429967915,0.0,2,SL1.5_PT3.0
2023-07,5.346154732639466,2321.689584800264,1.0,1,SL1.5_PT3.0
2023-08,0.0,0.0,,0,SL1.5_PT3.0
2023-09,-4.261097977190635,-1850.478949488373,0.3333333333333333,3,SL1.5_PT3.0
2023-10,-2.8658904160191248,-1244.5782553632666,0.0,3,SL1.5_PT3.0
2023-11,-0.42465046763671527,-184.4141475878998,0.0,1,SL1.5_PT3.0
2023-12,-3.2392848230912707,-1406.733290014512,0.0,2,SL1.5_PT3.0
2024-01,0.13871017406682237,60.23805567591137,0.5,2,SL1.5_PT3.0
2024-02,-0.6184373035628498,-268.5704994222913,0.5,2,SL1.5_PT3.0
2024-03,0.6758065234907475,293.4843911923031,1.0,1,SL1.5_PT3.0
2024-04,-3.264829611581585,-1417.8266968367661,0.0,2,SL1.5_PT3.0
2024-05,-1.1754506615168367,-510.46625,0.0,1,SL1.5_PT3.0
2024-06,-1.8124025769780425,-787.077141771693,0.5,2,SL1.5_PT3.0
2024-07,-2.0723603901222205,-899.969749159118,0.0,2,SL1.5_PT3.0
2024-08,-1.1081341038088242,-481.2325,0.0,1,SL1.5_PT3.0
2024-09,-1.2324108257313091,-535.2025,0.0,1,SL1.5_PT3.0
